symbol,entry,exit,pnl,days
NAF,2024-08-19,2024-11-01,20.943952802359885,74
NAF,2024-11-04,2024-11-11,-6.666666666666667,7
NAF,2025-02-27,2025-04-01,-2.4213075060532687,33
NAF,2025-04-03,2025-04-04,-6.904761904761905,1
NAF,2025-04-18,2025-07-14,6.235011990407674,87
NAF,2025-07-31,2025-11-26,30.87378640776699,118
PMC,2023-02-21,2023-03-08,-3.616711702348784,15
PMC,2023-05-12,2023-05-17,-8.236909197881937,5
PMC,2023-06-01,2023-06-09,-3.223892405063291,8
PMC,2023-10-06,2023-12-20,11.048784633690294,75
PMC,2024-03-14,2024-04-09,-1.3624377380603574,26
PMC,2024-04-19,2024-05-06,-2.3209169054441263,17
PMC,2024-05-20,2024-07-09,-3.3850303438975047,50
PMC,2024-07-17,2024-08-06,-6.040520260130065,20
PMC,2024-09-06,2024-09-17,-9.147435130933875,11
PMC,2024-09-20,2024-09-25,-4.351041538271909,5
PMC,2025-03-14,2025-04-15,-3.3935879945429743,32
PMC,2025-08-05,2025-08-12,-4.315106580166821,7
TTN,2023-05-15,2023-05-16,-3.3692722371967654,1
TTN,2023-05-29,2023-07-06,0.8,38
TTN,2023-07-26,2023-08-21,-3.488372093023256,26
TTN,2023-12-01,2024-07-16,145.906432748538,228
TTN,2024-10-22,2025-02-10,46.25706214689266,111
TTN,2025-05-08,2025-07-31,7.0559610705596105,84
TTN,2025-10-09,2025-11-10,-5.555555555555555,32
TTN,2025-11-19,2025-12-12,-3.910614525139665,23
HAH,2023-02-20,2023-02-24,-6.578947368421052,4
HAH,2023-04-03,2023-05-26,13.114754098360656,53
HAH,2023-08-31,2023-10-19,0.2618943692710607,49
HAH,2024-02-05,2024-04-08,3.014116749332316,63
HAH,2024-05-07,2024-07-22,14.040728831725616,76
HAH,2024-09-26,2025-03-05,23.31952851226505,160
HAH,2025-03-27,2025-04-08,-7.804265997490589,12
HAH,2025-04-15,2025-06-13,21.363220494053063,59
HAH,2025-07-22,2025-08-26,2.999638597759306,35
HAH,2025-10-23,2025-12-01,3.577512776831346,39
ECO,2024-11-22,2024-11-29,-16.483516483516482,7
ECO,2025-03-05,2025-03-10,-7.236842105263158,5
ECO,2025-08-14,2025-09-09,-15.458015267175574,26
ECO,2025-10-22,2025-10-24,-2.3040482342807924,2
ECO,2025-10-29,2025-11-06,-6.453247740518625,8
TAL,2024-03-18,2024-04-03,-2.277542372881356,16
TAL,2024-04-22,2024-05-06,-1.3304949441192122,14
TAL,2024-07-23,2024-09-17,4.027690371302707,56
TAL,2024-09-25,2024-10-15,-3.747072599531616,20
TAL,2025-05-29,2025-06-09,-3.607809847198642,11
TAL,2025-06-23,2025-11-03,82.4381926683717,133
